user_id,activityLoop_id,interactionTime
25223,16,"2017-08-07 07:21:02"
25964,4,"2017-08-18 09:46:16"
25964,4,"2017-08-18 09:47:59"
25964,9,"2017-08-18 09:48:43"
25964,4,"2017-08-18 09:48:43"
25973,4,"2017-08-18 09:50:12"
25973,4,"2017-08-18 09:50:44"
25960,4,"2017-08-18 09:51:40"
25961,4,"2017-08-18 09:52:54"
25973,16,"2017-08-18 09:55:42"
25964,4,"2017-08-18 09:56:51"
25961,4,"2017-08-18 09:58:28"
25964,4,"2017-08-18 10:00:32"
25964,5,"2017-08-18 10:00:58"
25968,4,"2017-08-18 10:02:02"
25968,4,"2017-08-18 10:03:27"
25959,4,"2017-08-18 10:03:28"
25959,9,"2017-08-18 10:05:03"
25959,4,"2017-08-18 10:05:04"
25968,9,"2017-08-18 10:05:04"
25968,4,"2017-08-18 10:05:05"
25964,4,"2017-08-18 10:06:48"
25961,4,"2017-08-18 10:07:26"
25964,9,"2017-08-18 10:09:08"
25964,4,"2017-08-18 10:09:09"
25964,4,"2017-08-18 10:09:55"
25964,4,"2017-08-18 10:11:21"
25964,9,"2017-08-18 10:12:06"
25964,1,"2017-08-18 10:12:06"
25964,4,"2017-08-18 10:12:06"
25964,4,"2017-08-18 10:13:41"
25964,4,"2017-08-18 10:18:04"
25964,4,"2017-08-18 10:21:36"
25964,4,"2017-08-18 10:22:33"
25964,2,"2017-08-18 10:22:33"
25964,20,"2017-08-18 10:22:33"
25960,4,"2017-08-18 16:04:56"
25960,4,"2017-08-18 16:05:35"
25960,9,"2017-08-18 16:08:02"
25960,4,"2017-08-18 16:12:56"
25960,5,"2017-08-18 16:17:04"
25960,9,"2017-08-18 16:21:40"
25960,4,"2017-08-18 16:21:41"
25960,4,"2017-08-18 16:30:23"
25960,4,"2017-08-18 16:34:00"
25960,9,"2017-08-18 16:34:43"
25960,1,"2017-08-18 16:34:43"
25960,4,"2017-08-18 16:34:43"
25960,4,"2017-08-18 16:39:38"
25960,4,"2017-08-18 17:25:18"
25960,9,"2017-08-18 17:25:40"
25960,4,"2017-08-18 17:25:40"
25960,4,"2017-08-18 17:26:13"
25960,4,"2017-08-18 17:29:09"
31569,4,"2017-08-19 09:20:47"
31569,4,"2017-08-19 09:24:07"
31569,9,"2017-08-19 09:24:30"
31569,4,"2017-08-19 09:24:31"
31569,4,"2017-08-19 09:25:18"
31569,4,"2017-08-19 09:25:51"
31569,9,"2017-08-19 09:25:58"
31569,4,"2017-08-19 09:25:59"
25960,9,"2017-08-19 21:06:37"
25960,4,"2017-08-19 21:06:37"
25960,4,"2017-08-19 21:07:20"
25960,4,"2017-08-19 21:09:57"
25960,4,"2017-08-19 21:11:21"
25960,1,"2017-08-19 21:11:28"
25960,4,"2017-08-19 21:11:28"
25960,4,"2017-08-19 21:23:41"
25960,4,"2017-08-19 21:29:26"
25960,4,"2017-08-19 21:36:56"
25960,4,"2017-08-19 21:39:23"
25960,9,"2017-08-19 21:39:50"
25960,4,"2017-08-19 21:39:51"
25960,4,"2017-08-19 21:42:23"
25960,4,"2017-08-19 21:45:39"
25960,4,"2017-08-19 21:48:11"
25960,9,"2017-08-19 21:48:31"
25960,4,"2017-08-19 21:48:32"
25960,4,"2017-08-19 21:51:01"
25960,5,"2017-08-19 21:56:54"
25960,4,"2017-08-21 15:25:07"
25960,4,"2017-08-21 15:26:06"
28503,4,"2017-08-22 07:50:41"
28505,4,"2017-08-22 07:52:12"
28503,4,"2017-08-22 07:54:47"
28542,4,"2017-08-22 07:57:15"
28505,4,"2017-08-22 07:58:49"
28548,4,"2017-08-22 07:59:17"
28505,9,"2017-08-22 07:59:26"
28505,4,"2017-08-22 07:59:27"
28537,4,"2017-08-22 07:59:43"
28503,4,"2017-08-22 08:00:16"
36020,4,"2017-08-22 08:00:34"
28548,4,"2017-08-22 08:00:42"
28521,4,"2017-08-22 08:01:39"
28503,4,"2017-08-22 08:02:30"
28521,4,"2017-08-22 08:02:54"
28521,9,"2017-08-22 08:03:39"
28521,4,"2017-08-22 08:03:40"
28503,9,"2017-08-22 08:03:48"
28503,4,"2017-08-22 08:03:49"
28548,9,"2017-08-22 08:04:10"
28548,4,"2017-08-22 08:04:11"
28617,4,"2017-08-22 08:04:24"
25650,4,"2017-08-22 08:06:49"
28548,4,"2017-08-22 08:06:57"
28530,4,"2017-08-22 08:07:11"
28548,4,"2017-08-22 08:08:07"
28529,4,"2017-08-22 08:08:42"
28502,4,"2017-08-22 08:08:52"
28617,4,"2017-08-22 08:09:02"
28548,9,"2017-08-22 08:09:21"
28548,1,"2017-08-22 08:09:21"
28548,4,"2017-08-22 08:09:21"
28529,4,"2017-08-22 08:09:38"
28529,9,"2017-08-22 08:09:53"
28510,16,"2017-08-22 08:10:26"
28503,4,"2017-08-22 08:11:01"
28521,4,"2017-08-22 08:11:13"
28530,4,"2017-08-22 08:11:59"
28521,5,"2017-08-22 08:12:16"
28548,4,"2017-08-22 08:17:41"
28503,4,"2017-08-22 08:18:05"
33394,16,"2017-08-22 08:20:24"
25978,4,"2017-08-22 08:29:09"
25979,4,"2017-08-22 08:30:09"
25988,4,"2017-08-22 08:31:35"
25985,4,"2017-08-22 08:31:39"
25985,5,"2017-08-22 08:32:54"
25983,4,"2017-08-22 08:33:03"
25973,4,"2017-08-22 08:33:12"
25985,4,"2017-08-22 08:34:31"
25985,9,"2017-08-22 08:35:17"
25985,4,"2017-08-22 08:35:18"
25978,4,"2017-08-22 08:36:06"
25978,9,"2017-08-22 08:36:20"
25978,4,"2017-08-22 08:36:21"
25978,4,"2017-08-22 08:37:17"
25983,4,"2017-08-22 08:37:50"
25978,4,"2017-08-22 08:38:50"
25976,4,"2017-08-22 08:38:59"
25978,1,"2017-08-22 08:39:10"
25985,4,"2017-08-22 08:42:34"
25983,4,"2017-08-22 08:43:53"
25985,4,"2017-08-22 08:43:54"
25985,9,"2017-08-22 08:44:12"
25982,4,"2017-08-22 08:44:18"
25982,4,"2017-08-22 08:45:04"
25985,4,"2017-08-22 08:45:40"
25982,9,"2017-08-22 08:45:54"
25982,4,"2017-08-22 08:45:54"
25985,1,"2017-08-22 08:46:00"
25985,4,"2017-08-22 08:46:00"
25983,9,"2017-08-22 08:49:34"
25983,4,"2017-08-22 08:49:35"
25985,4,"2017-08-22 08:50:33"
25978,4,"2017-08-22 08:52:23"
25985,4,"2017-08-22 08:54:17"
25985,4,"2017-08-22 08:54:42"
25985,2,"2017-08-22 08:54:42"
25985,20,"2017-08-22 08:54:42"
25978,4,"2017-08-22 08:55:20"
25985,4,"2017-08-22 08:56:13"
25985,4,"2017-08-22 08:56:29"
25985,3,"2017-08-22 08:56:29"
25985,21,"2017-08-22 08:56:29"
25983,4,"2017-08-22 08:57:16"
25985,4,"2017-08-22 08:58:34"
25983,4,"2017-08-22 09:00:10"
25983,9,"2017-08-22 09:01:01"
25983,4,"2017-08-22 09:01:02"
25985,4,"2017-08-22 09:01:33"
25978,4,"2017-08-22 09:01:37"
25978,2,"2017-08-22 09:01:37"
25978,20,"2017-08-22 09:01:37"
25985,9,"2017-08-22 09:02:40"
25985,4,"2017-08-22 09:02:41"
25985,4,"2017-08-22 09:03:04"
25983,4,"2017-08-22 09:03:13"
25985,4,"2017-08-22 09:04:33"
25982,4,"2017-08-22 09:04:41"
25982,4,"2017-08-22 09:06:46"
25983,4,"2017-08-22 09:06:51"
25982,9,"2017-08-22 09:07:15"
25982,1,"2017-08-22 09:07:16"
25982,4,"2017-08-22 09:07:16"
25985,4,"2017-08-22 09:07:24"
25985,4,"2017-08-22 09:08:49"
25985,1,"2017-08-22 09:10:43"
25985,4,"2017-08-22 09:10:43"
28608,4,"2017-08-22 09:10:56"
25978,4,"2017-08-22 09:11:00"
25983,4,"2017-08-22 09:12:03"
25983,9,"2017-08-22 09:12:40"
25983,1,"2017-08-22 09:12:41"
25983,4,"2017-08-22 09:12:41"
28608,4,"2017-08-22 09:13:01"
28604,4,"2017-08-22 09:16:38"
28608,4,"2017-08-22 09:17:30"
28604,4,"2017-08-22 09:19:31"
28604,9,"2017-08-22 09:19:55"
28604,4,"2017-08-22 09:19:56"
28604,4,"2017-08-22 09:20:53"
28604,4,"2017-08-22 09:23:34"
25978,4,"2017-08-22 09:25:43"
25978,3,"2017-08-22 09:25:43"
25978,21,"2017-08-22 09:25:43"
28505,4,"2017-08-22 09:26:39"
28604,4,"2017-08-22 09:27:25"
28505,4,"2017-08-22 09:29:35"
28505,9,"2017-08-22 09:32:21"
28505,4,"2017-08-22 09:32:22"
28505,4,"2017-08-22 09:37:32"
28505,4,"2017-08-22 09:38:08"
28505,9,"2017-08-22 09:40:37"
28505,4,"2017-08-22 09:40:38"
28505,1,"2017-08-22 09:42:36"
28505,4,"2017-08-22 09:42:36"
28505,16,"2017-08-22 09:47:43"
28505,4,"2017-08-22 09:48:56"
28505,4,"2017-08-22 09:51:08"
28505,9,"2017-08-22 09:51:34"
28505,4,"2017-08-22 09:51:35"
28505,4,"2017-08-22 09:52:56"
28505,4,"2017-08-22 09:54:09"
28505,1,"2017-08-22 09:56:13"
28505,4,"2017-08-22 09:56:13"
28505,4,"2017-08-22 09:58:09"
28604,9,"2017-08-22 09:59:10"
28604,4,"2017-08-22 09:59:11"
28604,4,"2017-08-22 10:00:26"
28604,1,"2017-08-22 10:03:19"
28604,4,"2017-08-22 10:03:19"
28505,4,"2017-08-22 10:05:58"
28505,9,"2017-08-22 10:06:33"
28505,4,"2017-08-22 10:06:34"
28604,9,"2017-08-22 10:10:23"
28604,4,"2017-08-22 10:10:24"
