id,DTYPE,difficultLevel
57,Avatar,1
58,Avatar,3
59,Avatar,5
60,Avatar,8
61,Avatar,10
62,Avatar,1
63,Avatar,3
64,Avatar,5
65,Avatar,8
66,Avatar,10
67,Avatar,1
68,Avatar,3
69,Avatar,5
70,Avatar,8
71,Avatar,10
72,Avatar,1
73,Avatar,3
74,Avatar,5
75,Avatar,8
76,Avatar,10
77,Avatar,1
78,Avatar,3
79,Avatar,5
80,Avatar,8
81,Avatar,10
82,Avatar,1
83,Avatar,3
84,Avatar,5
85,Avatar,8
86,Avatar,10
87,Medal,NULL
88,Medal,NULL
89,Medal,NULL
90,Badge,NULL
91,Badge,NULL
92,Badge,NULL
93,Badge,NULL
94,Badge,NULL
95,Badge,NULL
96,Badge,NULL
97,Badge,NULL
98,Badge,NULL
99,Badge,NULL
100,Badge,NULL
101,Badge,NULL
102,Badge,NULL
103,Level,NULL
104,Level,NULL
105,Level,NULL
106,Level,NULL
107,Level,NULL
108,Level,NULL
109,Level,NULL
110,Level,NULL
111,Level,NULL
112,Level,NULL
113,Point,NULL
114,Point,NULL
115,Point,NULL
116,Point,NULL
117,Point,NULL
118,Point,NULL
119,Point,NULL
120,Point,NULL
121,Point,NULL
122,Point,NULL
