currentPoints,avatar_id,user_id
9108,58,25219
923,82,25220
429,57,25221
45,57,25222
0,62,25223
0,72,25224
0,57,25225
10,82,25226
0,NULL,25227
45,57,25228
230,57,25229
0,67,25230
0,NULL,25231
0,NULL,25232
180,57,25233
0,NULL,25234
365,82,25235
401,62,25236
70,62,25237
0,NULL,25238
744,57,25525
2824,77,25526
895,82,25527
740,62,25528
0,NULL,25529
9712,73,25530
3177,77,25531
1680,72,25532
590,77,25533
1769,72,25534
360,72,25535
70,82,25536
40,77,25537
0,NULL,25538
5205,77,25539
2676,62,25540
6296,82,25541
10571,73,25542
31080,74,25543
30,72,25544
30,77,25545
3432,57,25546
0,77,25547
4139,72,25548
1436,72,25549
495,57,25550
0,72,25551
0,NULL,25552
0,77,25553
2175,82,25554
1899,67,25555
3764,72,25556
1590,77,25557
4289,62,25558
0,77,25559
16478,68,25560
613,57,25561
2684,72,25562
718,77,25563
0,57,25564
1874,67,25565
1878,82,25566
1474,82,25567
0,57,25568
560,62,25569
170,67,25570
5464,72,25571
687,82,25572
5244,77,25573
14004,73,25574
4945,72,25575
10,62,25576
2415,82,25577
0,NULL,25578
6682,57,25579
0,NULL,25580
1267,77,25581
1063,82,25582
0,NULL,25583
4552,57,25584
0,NULL,25585
455,72,25586
732,82,25587
0,NULL,25588
0,NULL,25589
0,NULL,25590
2534,82,25591
0,57,25592
2912,82,25593
1235,62,25594
0,67,25595
0,NULL,25596
1796,62,25597
120,72,25598
338,72,25599
120,82,25600
50,57,25601
0,NULL,25602
943,72,25603
0,77,25604
38341,59,25605
1390,57,25606
1502,77,25607
168,57,25608
370,77,25609
6944,77,25610
4823,72,25611
0,77,25612
20,82,25613
21480,74,25614
0,77,25615
918,77,25616
160,77,25617
1071,77,25618
0,67,25619
40,77,25620
3084,77,25621
19713,63,25622
1127,72,25623
3378,57,25624
1030,77,25625
20,72,25626
3203,82,25627
5727,72,25628
160,82,25629
23342,79,25630
22221,74,25631
0,NULL,25632
170,77,25633
4591,82,25634
3763,72,25635
0,NULL,25636
3049,72,25637
1910,72,25638
2252,77,25639
16727,58,25640
185,77,25641
9186,78,25642
140,77,25643
128,77,25644
205,82,25645
2422,62,25646
0,NULL,25647
165,77,25648
60,77,25649
944,57,25650
4205,57,25651
4122,57,25652
591,57,25653
10,57,25654
1806,82,25655
38,72,25656
1602,62,25657
1426,57,25658
0,NULL,25659
1236,57,25660
10446,83,25661
8949,78,25662
1185,82,25663
423,72,25664
580,77,25665
8186,83,25666
25575,74,25667
330,77,25668
2643,57,25669
2896,57,25670
14148,58,25671
0,NULL,25672
16518,78,25673
11909,78,25674
0,NULL,25675
0,82,25676
15402,78,25677
7007,77,25678
0,NULL,25679
10576,68,25680
0,NULL,25681
3799,57,25682
20,62,25683
1050,77,25684
0,NULL,25685
31617,59,25686
0,NULL,25687
0,NULL,25688
15647,83,25689
26171,64,25690
0,NULL,25691
0,NULL,25692
0,NULL,25693
0,NULL,25694
0,NULL,25695
0,NULL,25696
0,NULL,25697
560,77,25698
10,67,25699
0,57,25700
420,82,25701
1085,77,25702
0,77,25703
190,72,25704
