user_id,problem_id,correctly_done
25223,1221,0
25223,4223,0
25223,4224,0
25223,4228,0
25964,1221,1
25964,2608,1
25964,2598,1
25973,4223,0
25973,4224,0
25973,4228,1
25973,4231,1
25973,4227,0
25964,1223,0
25973,4231,0
25960,1221,1
25961,18212,1
25964,1226,0
25968,18212,0
25960,2608,0
25964,2615,1
25961,18473,1
25964,1227,1
25968,20477,1
25968,18473,1
25959,4223,1
25961,20477,0
25959,4231,0
25959,4223,1
25959,4227,1
25968,28559,1
25964,2617,0
25959,4237,0
25964,13794,1
25964,2622,0
25961,20478,1
25964,2613,1
25964,2630,1
25964,2638,1
25964,2628,1
25964,20265,1
25964,2610,0
25964,2639,1
25964,2640,1
25964,2623,1
25964,2624,0
31569,6473,0
25960,2606,0
25960,2610,1
25960,2600,1
25960,1221,1
25960,1223,0
25960,1226,1
25960,1227,0
25960,1226,1
25960,2622,1
25960,2630,1
25960,2638,1
25960,2628,1
25960,1233,1
25960,2653,0
25960,2652,1
25960,2645,1
25960,2659,1
25960,2667,1
25960,2657,0
25960,1237,0
31569,4223,1
31569,4231,1
31569,4230,1
31569,4237,1
31569,4245,0
31569,21314,1
31569,20330,1
31569,4251,0
25960,2659,1
25960,1236,0
25960,2659,1
25960,2660,1
25960,1230,1
25960,2649,0
25960,2649,1
25960,1231,0
25960,2657,1
25960,1236,1
25960,2673,0
25960,2674,0
25960,2677,1
25960,4223,0
25960,4224,1
25960,4231,0
25960,4228,0
25960,4224,1
25960,21282,0
25960,21284,0
25960,21285,1
25960,21505,0
25960,21289,1
25960,21505,1
25960,4237,1
25960,4245,0
25960,21342,0
25960,20327,1
25960,20327,1
25960,4236,0
25960,21316,0
25960,22096,1
25960,21338,1
25960,4251,1
25960,4258,0
25960,21719,0
25960,21318,0
25960,1242,0
25960,323,1
25960,9495,1
25960,9483,0
25960,9490,0
28505,4223,0
28503,4223,1
28503,4231,0
28505,4224,1
28503,4221,1
28503,21279,0
28505,4231,0
28503,21512,0
28548,18212,0
28542,4223,1
28541,18212,0
28505,21283,0
28548,20477,0
28503,21285,0
28505,4227,1
28542,4231,0
28505,4227,1
28536,4223,0
28548,20478,1
28505,21509,1
28537,1221,1
28503,18212,1
28542,21289,0
36020,1221,1
28521,323,0
28548,18473,1
28503,18473,0
28537,18212,0
28505,4237,0
28521,325,1
28530,18212,0
28510,6473,0
28530,20477,0
28503,20479,1
36020,2608,0
28521,9495,1
28537,20477,0
28617,4223,0
28536,18212,0
28521,9491,1
28503,27297,1
28529,18212,0
28548,20479,1
28617,4224,1
28529,20477,0
28536,20477,0
28505,4238,0
28529,20478,0
28503,18214,0
28505,4241,0
25650,323,1
28548,18214,1
28529,20479,0
28530,4223,1
28548,18213,1
28617,18212,0
28503,18215,0
28529,27297,1
28502,18212,1
28530,4231,0
28617,20477,1
28548,20484,1
28529,18473,1
28528,18212,0
28529,27297,1
28617,18473,0
28505,18212,0
28503,18220,1
28521,9500,1
28530,20358,0
28521,9510,0
28530,21277,1
28505,20477,0
28503,18213,0
28529,18214,0
28548,20480,1
28503,27298,1
28548,23816,0
28548,27300,0
33394,4223,0
25985,18212,0
25978,6473,1
25988,4223,0
25979,6473,1
25988,4224,1
25985,20477,1
25985,18473,0
25983,4223,1
25978,6481,0
25973,21277,1
25973,20359,0
25985,20478,1
25973,4230,0
25985,20481,1
25976,4223,0
25983,4231,0
25973,21320,0
25978,938,1
25978,943,1
25982,18212,0
25978,6473,1
25988,4231,0
25978,6471,1
25988,21509,0
25983,21278,1
25982,20477,0
25978,13734,1
25976,4224,1
25985,18214,0
25983,21287,0
25978,13734,1
25991,4223,0
25985,18215,0
25983,21284,0
25983,21278,1
25976,4231,0
25985,18220,0
25985,18221,1
25978,6482,0
25983,4226,1
25985,18213,1
25985,18213,1
25982,20478,1
25989,323,0
25982,18473,1
25985,18221,1
25985,23815,1
25982,20481,1
25985,18212,1
25989,325,0
25978,6483,0
25983,4229,0
25983,21287,1
25985,20480,1
25978,6479,1
25983,4237,0
25985,27300,1
25985,27301,1
25978,6480,1
25985,27302,1
25985,18222,1
25983,4238,1
25985,11251,1
25985,11259,0
25983,4245,1
25983,21329,1
25985,18226,1
25978,6474,1
25985,20489,1
25985,18240,1
25983,4251,1
25985,18258,1
25982,18214,1
25982,18213,1
25983,4258,1
25982,23815,1
25985,23817,1
25985,23829,0
25985,18257,1
28604,4223,0
25983,21734,0
25985,18245,1
28608,6473,1
25978,6477,1
25983,21721,1
25985,23822,0
25985,23824,0
25983,21722,1
25985,18234,0
28608,6481,1
25985,23920,0
28604,4224,1
28608,18212,1
28604,4231,0
28604,21280,1
28604,21278,1
28604,4237,1
28604,4245,1
28604,21328,0
25978,6478,1
28604,21313,0
28505,4242,1
28604,21321,1
28505,4245,1
28505,21322,1
28505,4251,1
28505,4258,1
28505,21726,1
28505,4264,1
28505,4039,1
28505,4047,1
28505,21308,1
28505,22064,1
28505,21349,1
28505,21303,1
28505,4448,1
28604,21326,1
28505,4456,0
28604,4251,1
28604,4258,1
28505,4457,1
28505,21920,1
28505,21905,0
28604,4259,1
28505,21907,0
28604,4260,1
28505,4452,1
28505,4449,0
28505,21923,0
28505,21896,1
28505,21896,1
28604,21736,1
28604,21694,1
28505,4454,0
28505,21640,0
28604,24833,0
28604,1221,1
28604,2608,1
28604,2605,1
28604,1223,0
28604,1226,0
28604,2615,1
28604,1227,0
28604,20261,1
28604,20265,1
28483,6473,1
28483,6481,1
28604,2630,1
28483,936,1
28483,13746,1
28483,943,1
28483,6483,1
28483,6482,1
28483,6478,1
28492,18212,0
28483,6479,1
28492,20477,0
28492,20478,0
28492,20479,0
28492,27297,0
28483,6480,1
28492,28559,0
28492,28559,0
28483,6474,1
28492,20480,0
28604,2638,1
28492,606,1
28483,6663,1
28483,6671,1
28492,5411,0
28492,5413,0
28483,6659,1
